 name	GO
PF3D7_0810800	PPPK-DHPS	GO:0004156
PF3D7_1230400	ClpQ	GO:0004176
PF3D7_1239700	FTSH1	GO:0004176
PF3D7_0404700	DPAP3	GO:0004177
PF3D7_1311800	M1AAP	GO:0004177
PF3D7_1454400	APP	GO:0004177
PF3D7_1401300	EH2	GO:0004177
PF3D7_1140000	CA	GO:0004089
PF3D7_0802200	1-CysPxn	GO:0004601
PF3D7_1401800	CK	GO:0004103
PF3D7_1316600	CCT	GO:0004105
PF3D7_0623000	CS	GO:0004107
PF3D7_1142400	CPO	GO:0004109
PF3D7_0503400	ADF1	GO:0060327
PF3D7_0415300	CRK3	GO:0004672
PF3D7_1136500	CK1	GO:0004672
PF3D7_0213400	PK7	GO:0004672
PF3D7_1228300	NEK1	GO:0004672
PF3D7_1444500	eIK1	GO:0004672
PF3D7_1349300	TKL3	GO:0004672
PF3D7_0217500	CDPK1	GO:0009931
PF3D7_0610600	CDPK2	GO:0009931
PF3D7_1445400	CLK1	GO:0004712
PF3D7_0511200	SCD	GO:0004768
PF3D7_0527200	USP14	GO:0004843
PF3D7_1108400	CK2alpha	GO:0005956
PF3D7_1103700	CK2beta1	GO:0005956
PF3D7_1219700	RKIP	GO:0019887
PF3D7_0616000	PDXK	GO:0016310
PF3D7_1314200	TERT	GO:0007004
PF3D7_0503400	ADF1	GO:0030036
PF3D7_0525400	PF3D7_0525400	GO:0043021
PF3D7_1105600	PTEX88	GO:0008565
PF3D7_0913200	EF-1beta	GO:0005085
PF3D7_1223300	GyrA	GO:0006265
PF3D7_1433500	TOP2	GO:0006265
PF3D7_1017300	GRASP	GO:0007030
PF3D7_1465500	K2	GO:0005267
PF3D7_1227200	K1	GO:0005267
PF3D7_0408700	PLP1	GO:0022829
PF3D7_1303500	NHE	GO:0015299
PF3D7_0204700	HT	GO:0015149
PF3D7_0504000	ATPase3	GO:0015662
PF3D7_1033400	HAD1	GO:0016311
PF3D7_0907900	PDF	GO:0031365
PF3D7_0528400	DHHC7	GO:0018345
PF3D7_0303400	DHHC1	GO:0018345
PF3D7_1115900	DHHC9	GO:0018345
PF3D7_1322500	DHHC5	GO:0018345
PF3D7_1121000	DHHC3	GO:0018345
PF3D7_1315600	PIS	GO:0006661
PF3D7_1454400	APP	GO:0006508
PF3D7_1354800	MCA1	GO:0006508
PF3D7_1136900	SUB2	GO:0006508
PF3D7_0507200	SUB3	GO:0006508
PF3D7_1323500	PMV	GO:0006508
PF3D7_0307400	ClpP	GO:0006508
PF3D7_0808200	PMX	GO:0006508
PF3D7_0807700	DegP	GO:0006508
PF3D7_1115400	FP3	GO:0006508
PF3D7_1239700	FTSH1	GO:0006508
PF3D7_0207600	SERA5	NOT	GO:0006508
PF3D7_1333200	UBA1	GO:0010564
PF3D7_0916500	UFD1	GO:0010564
PF3D7_1345500	UBC	GO:0010564
PF3D7_0314200	PF3D7_0314200	GO:0010564
PF3D7_0815700	Ub	GO:0010564
PF3D7_1365400	Uba2	GO:0010564
PF3D7_0711000	CDC48	GO:0010564
PF3D7_1453800	GluPho	GO:0008144
PF3D7_1246900	PKB	GO:0035091
PF3D7_1228600	MSP9	GO:0016020
PF3D7_1019900	ATG8	GO:0016020
PF3D7_0304200	EHD	GO:0016020
PF3D7_1216700	PLP2	GO:0016020
PF3D7_1462800	GAPDH	GO:0016020
PF3D7_1335900	TRAP	GO:0016020
PF3D7_1455400	HlyIII	GO:0016020
PF3D7_1232300	PF3D7_1232300	GO:0016020
PF3D7_0217500	CDPK1	GO:0016020
PF3D7_API04000	YCF93	GO:0016020
PF3D7_0323400	RIPR	GO:0016020
PF3D7_1238900	PK2	GO:0016020
PF3D7_1320600	RAB11a	GO:0016020
PF3D7_0616800	MQO	GO:0016020
PF3D7_1136900	SUB2	GO:0008236
PF3D7_0507500	SUB1	GO:0008236
PF3D7_1145400	DYN1	GO:0031965
PF3D7_1027700	CEN3	GO:0031965
PF3D7_1128200	MBF1	GO:0034399
PF3D7_0622900	AP2Tel	GO:0034399
PF3D7_0935400	GDV1	GO:0034399
PF3D7_1220900	HP1	GO:0034399
PF3D7_1317400	PF3D7_1317400	GO:0034399
PF3D7_1211600	LSD1	GO:0034399
PF3D7_0905100	NUP221	GO:0034399
PF3D7_0212100	PF3D7_0212100	GO:0034399
PF3D7_0906000	RNaseII	GO:0034399
PF3D7_1322100	SET2	GO:0034399
PF3D7_0705300	ORC2	GO:0034399
PF3D7_1417700	PF3D7_1417700	GO:0034399
PF3D7_1209300	TRZ	GO:0034399
PF3D7_0604100	SIP2	GO:0034399
PF3D7_1355300	SET6	GO:0034399
PF3D7_0827800	SET3	GO:0034399
PF3D7_1221000	SET10	GO:0034399
